No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
306,YJR148W,0.0, ,0.0,0.0,0.0, ,,,,,
307,YKL141W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
308,YIL111W,1.0, ,1.0,1.0,1.0, ,,,,,
309,YOL097C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
310,YBR153W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
311,YLL062C,1.0, ,1.0,1.0,1.0, ,,,,,
312,YLR138W,1.0, ,1.0,1.0,1.0, ,,,,,
313,YKR069W,1.0, ,1.0,1.0,1.0, ,,,,,
314,YLR343W,1.0, ,1.0,1.0,1.0, ,,,,,
315,YPR033C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
316,YMR085W,1.0, ,1.0,1.0,1.0, ,,,,,
317,YLL018C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
318,YGL154C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
319,YPR062W,1.0, ,1.0,1.0,1.0, ,,,,,
320,YNL202W,1.0, ,1.0,1.0,1.0, ,,,,,
321,YER023W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
322,YBR026C,1.0, ,1.0,1.0,1.0, ,,,,,
323,YDL185W,1.0, ,1.0,1.0,1.0, ,,,,, 
324,YER060W,1.0, ,1.0,1.0,1.0, ,,,,,
325,YER065C,1.0, ,1.0,1.0,0.0, ,,,,,0
326,YBR069C,1.0, ,1.0,1.0,1.0, ,,,,,
327,YGR177C,1.0, ,1.0,1.0,1.0, ,,,,,
328,YJR133W,1.0, ,1.0,1.0,1.0, ,,,,,
329,YOR388C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
330,YGL040C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
331,YLR133W,1.0, ,1.0,1.0,1.0, ,,,,,
332,YDL215C,1.0, ,1.0,1.0,1.0, ,,,,,
333,YML004C,1.0, ,1.0,1.0,1.0, ,,,,,
334,YPL057C,1.0, ,1.0,1.0,1.0, ,,,,,
335,YBR021W,0.0, ,-0.0,0.0,0.0, ,,,,,
336,YLR308W,1.0, ,1.0,1.0,1.0, ,,0,,,0
337,YBR161W,1.0, ,1.0,1.0,1.0, ,,,,,
338,YNL169C,1.0, ,1.0,1.0,1.0, ,,,,,
339,YKL029C,1.0, ,1.0,1.0,1.0, ,,,,,
340,YNL104C,1.0, ,1.0,1.0,1.0, ,,,,,
341,YML081C-A,1.0, ,1.0,0.0,0.0, ,,,,,
342,YDL045C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
343,YLR180W,1.0, ,1.0,1.0,1.0, ,,,,,
