 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,464,YJR073C,-1.48E-11,-1.16E-11,-2.76E-11,9.26E-12,
 ,465,YNR057C,1,0,0,1,
 ,466,YGL067W,1,1,1,0.999999997,
 ,467,YDR074W,0,0,0,0,
 ,468,YGL077C,1,0,0,1,
 ,469,YOR332W,1,0,0,1,
 ,470,YBL099W,0,0,0,0,
 ,471,YGR208W,0.998605738,0.998605737,1,1,
 ,472,Q0250,0.757180381,0.75718038,0,0,
 ,473,YDR536W,1,0,1,0.999999998,
 ,474,YCR075C,1,0,0,1,
 ,475,YNL316C,0,0,0,0,
 ,476,YFR055W,1,1,0,0.999999998,
 ,477,YGR248W,1,0,0,1,
 ,478,YIL164C,1,0,0,1,
 ,479,YMR267W,1,1,0.999999975,0,
 ,480,YIL116W,1,0,0,1,
 ,481,YLR109W,0.999999999,1,0.999999993,0.999999999,
 ,482,YOR190W,1,0,0,1,
 ,483,YKR009C,1,1,0,0.999999987,
 ,484,YGR094W,1,0,0,1,
 ,485,YDR402C,0.999999997,1,0.999999997,1.000000001,
 ,486,YDR178W,1,0,0,1,
 ,487,YJR103W,1,0,0,1,
 ,488,YBR265W,1,1,0,1.000000003,
 ,489,YML070W,1,0,0,1,
 ,490,YDR232W,1,0,0,1,
 ,491,YOL077W-A,1,0,0,1,
 ,492,YGR124W,1,0,0,1,
 ,493,YLR343W,1,0,0,1,
 ,494,YMR307W,1,0,0,1,
 ,495,YBR020W,1,0,0,1,
 ,496,YGR264C,1,0,0,1,
 ,497,YOR222W,1,0,0,1,
 ,498,YHR137W,1,0,0,1,
 ,499,YOR348C,1,0,0,1,
 ,500,YGL248W,1,0,0,1,
 ,501,YGR292W,1,0,0,1,
 ,502,YGL055W,1,1,1,0.999999999,
 ,503,YDL245C,1,0,0,1,
 ,504,YJR025C,0,1,0,1,
 ,505,YBR092C,1,0,0,1,
 ,506,YOR393W,1,0,0,1,
 ,507,YBR145W,1,0,0,1,
 ,508,YBR068C,1,0,0,1,
