 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,290,YCL064C,0.0,0.0,0.0,0.0
 ,291,YER174C,0.0,0.0,0.0,0.0
 ,292,YGL119W,0.0,0.0,1.0000000018610924,0.0
 ,293,YML126C,0.0,0.0,0.0,0.0
 ,294,YHR044C,0.0,0.0,0.0,0.0
 ,295,YFR019W,0.0,0.9999999996211582,0.0,1.0000000037470453
 ,296,YNR019W,0.0,0.0,0.0,0.0
 ,297,YJR152W,0.0,0.0,0.0,0.0
 ,298,YBR199W,0.0,0.0,0.0,0.0
 ,299,YJR109C,0.0,0.0,0.0,0.0
 ,300,YCR048W,0.0,0.0,0.9999999992276001,0.0
 ,301,YDL182W,0.0,0.0,0.0,0.0
 ,302,YER069W,0.0,0.0,0.0,2.2261502181860869e-10
 ,303,YJR148W,0.0,0.0,0.0,0.0
 ,304,YIL111W,0.0,0.0,0.0,0.0
 ,305,YOL097C,0.0,0.0,0.0,0.0
 ,306,YBR153W,0.0,1.1427256567545637e-07,0.0,0.0
 ,307,YLR354C,0.0,0.0,0.0,0.0
 ,308,YKR069W,0.0,0.0,0.0,0.0
 ,309,YJR158W,0.0,0.0,0.0,0.0
 ,310,YPR033C,0.0,0.0,0.0,0.0
 ,311,YMR085W,0.0,0.0,0.0,0.0
 ,312,YGL154C,0.0,0.0,0.0,0.0
 ,313,YPR062W,0.0,0.0,0.0,0.0
 ,314,YHR039C-A,0.0,0.0,0.0,0.0
 ,315,YNL202W,0.9999999996064692,0.0,0.0,0.0
 ,316,YER023W,0.0,0.0,0.0,0.0
 ,317,YBR026C,0.0,0.9999999999577261,0.0,0.0
 ,318,YCR034W,0.0,0.0,0.0,0.0
 ,319,YER060W,0.0,0.0,0.0,0.0
 ,320,YBR069C,0.0,0.0,0.0,0.0
 ,321,YGR177C,0.0,0.0,0.0,0.0
 ,322,YJR133W,0.0,0.0,0.0,0.9999999996849464
 ,323,YBR176W,0.9999999999604381,0.0,1.0000000001455434,0.9999999994774644
 ,324,YGL040C,0.0,0.0,0.0,0.0
 ,325,YLR133W,0.0,0.9999999997937388,0.9999999996987111,0.0
 ,326,YDL215C,0.0,0.9999999998116814,1.0000000011642485,0.9999999985137543
 ,327,YML004C,0.0,0.0,0.0,1.000000000974668
 ,328,YPL057C,0.0,0.0,0.0,0.0
 ,329,YDR058C,0.0,0.0,0.0,0.0
 ,330,YDR315C,0.0,0.0,0.0,0.0
 ,331,YGR255C,0.0,0.0,1.0000000018610924,0.0
 ,332,YBR161W,0.0,0.0,0.0,0.0
 ,333,YNL169C,0.9995731371366938,0.0,0.9995965427738752,0.9997035776578964
 ,334,YCL069W,0.0,0.0,0.0,0.0
 ,335,YNL104C,0.0,0.0,1.0000000001662332,0.0
 ,336,YML081C-A,0.0,0.0,0.0,0.0
 ,337,YDL045C,0.9999999998235826,0.9999999996703137,1.0000000014992683,0.0
 ,338,YLR180W,0.0,0.0,0.0,0.0
 ,339,YOR245C,0.0,0.0,0.0,0.0
 ,340,YGR282C,0.0,0.0,0.0,0.0
 ,341,YDL198C,0.0,0.0,0.0,0.0
 ,342,YOR180C,0.0,0.0,0.0,0.0
 ,343,YNR043W,-1.2646730395097463e-10,0.0,-4.133907338327333e-12,0.0
 ,344,YOR360C,0.0,0.0,0.0,0.0
 ,345,YOR335C,0.0,0.0,0.0,0.0
 ,346,UNKNOWN,0.0,0.0,0.0,0.0
 ,347,YGR204W,0.0,0.0,0.0,0.0
 ,348,YJL005W,0.0,0.0,0.0,1.000000000600658
 ,349,YOL065C,0.0,0.0,0.0,0.0
 ,350,YPL028W,0.0,0.0,0.0,0.0
 ,351,YFL001W,0.0,0.0,0.0,0.0
 ,352,YKL217W,0.0,0.0,1.0000000003937342,0.9999999993140771
 ,353,YJR016C,0.0,0.0,0.0,0.0
 ,354,YDL100C,0.9999999995137429,0.0,0.0,0.9999999987389078
 ,355,YOR095C,0.0,0.0,1.427504933827857e-10,0.0
 ,356,YEL038W,0.0,0.0,0.0,0.0
 ,357,YGR185C,0.0,0.0,0.0,0.0
 ,358,YOR377W,0.0,0.0,0.0,0.0
 ,359,YPL265W,0.0,0.0,0.0,0.0
 ,360,YML008C,0.9999999995746628,0.0,0.0,0.0
 ,361,YDR441C,0.0,0.0,0.0,0.0
 ,362,YMR296C,0.0,0.0,0.0,1.000000002799663
 ,363,YPL023C,0.0,0.0,0.0,0.0
 ,364,YER090W,0.0,0.0,0.0,0.0
 ,365,YGR199W,0.0,0.0,0.0,0.0
 ,366,YPL212C,0.0,0.0,0.0,0.0
 ,367,YMR145C,0.0,0.0,0.0,0.0
 ,368,YNL280C,1.108335581592763e-10,3.0941313901409666e-10,0.0,1.3845006374716083e-08
 ,369,YDR007W,0.0,0.0,0.0,0.0
 ,370,YIL160C,0.0,0.0,0.0,0.0
 ,371,YNR072W,0.0,0.0,0.0,0.0
 ,372,YML022W,0.0,0.0,0.0,0.0
 ,373,YDR062W,0.0,0.0,0.0,1.000000002799663
 ,374,YPR159W,0.0,0.0,0.0,0.0
 ,375,YDR017C,0.9999999997314086,0.9999999998716984,0.0,0.0
 ,376,YMR303C,0.0,0.0,1.0000000005810052,0.0
 ,377,YML123C,0.0,0.0,0.0,0.0
 ,378,YPR167C,0.0,0.0,0.0,0.0
 ,379,YER087W,0.0,0.0,0.0,0.0
 ,380,YHR190W,0.0,0.0,0.0,0.0
 ,381,YHL011C,0.0,0.0,0.0,0.0
 ,382,YMR313C,0.0,0.0,0.0,0.0
 ,383,YGR143W,0.0,0.0,0.0,0.0
 ,384,YHR007C,1.108335581592763e-10,3.0941313901409666e-10,0.0,1.3845006374716083e-08
 ,385,YBR205W,0.0,0.0,0.0,0.0
 ,386,YOR163W,0.9999999997314086,0.9999999998716984,0.0,0.0
 ,387,YOR321W,0.0,0.0,0.0,0.0
 ,388,YBR003W,0.0,0.0,1.0000000018610924,0.0
 ,389,YDL085W,0.0,0.0,0.0,0.0
 ,390,YBR183W,0.0,0.0,0.0,0.0
 ,391,YGL256W,0.0,0.0,0.0,0.0
 ,392,YGR260W,0.0,0.9999999995194753,1.0000000003071923,0.0
 ,393,YER099C,0.0,0.0,0.0,0.0
 ,394,YBL013W,0.0,0.0,0.0,0.0
 ,395,YJR048W,0.0,0.0,0.0,0.0
 ,396,YNL256W,0.0,0.0,0.0,0.0
 ,397,YLR174W,0.0,0.0,0.0,0.0
 ,398,YLL028W,0.0,0.0,0.0,0.0
 ,399,YBR218C,0.0,0.0,0.0,0.0
 ,400,YHR001W-A,0.0,0.0,0.0,0.0
 ,401,YMR207C,0.0,0.0,0.0,0.0
 ,402,YGR286C,0.0,0.0,0.0,0.0
 ,403,YCR037C,0.0,0.0,0.0,0.0
 ,404,YIR031C,0.0,0.0,0.0,0.0
